id,time
4,3.79
1214,3.27
1589,3.92
2320,4.11
3254,4.42
3291,4.11
3459,6.09
3836,4.40
4054,3.80
4571,4.03
4696,3.68
6419,3.92
6651,3.86
6708,3.74
6841,4.65
6852,3.69
8582,3.51
2199023257416,3.59
2199023258634,3.95
2199023260183,4.10
2199023261692,4.01
2199023263994,4.45
2199023264264,4.72
2199023265488,3.90
4398046513106,4.31
4398046513201,4.70
4398046514409,3.93
4398046514683,3.72
4398046514710,3.64
4398046515195,3.79
4398046515294,3.64
4398046516520,3.70
4398046516980,3.56
4398046517026,3.54
4398046518830,4.34
4398046518928,4.97
6597069768229,4.70
6597069768778,3.54
6597069769119,3.89
6597069769648,3.49
6597069770939,4.23
6597069771569,5.06
6597069773801,3.41
6597069773997,6.16
8796093023350,3.96
8796093024304,3.84
8796093024770,3.39
8796093027955,3.59
8796093030082,3.68
8796093030310,3.62
8796093030938,3.42
8796093031791,3.66
10995116281207,4.18
10995116283029,3.75
10995116284529,8.52
10995116286392,3.40
10995116287010,3.57
10995116287618,4.14
13194139533380,3.48
13194139538697,3.74
15393162789617,3.60
15393162790138,3.45
15393162790830,4.64
15393162791294,3.88
15393162791639,5.24
15393162798361,3.63
17592186044664,4.09
17592186051549,3.66
17592186052603,3.51
17592186053193,3.93
17592186053772,4.51
17592186053775,4.48
19791209305197,3.48
19791209308884,4.05
19791209309466,3.93
21990232556250,3.71
21990232556787,4.15
21990232557155,5.40
21990232557249,3.78
21990232559275,4.13
21990232559597,3.97
21990232560931,4.54
21990232561060,3.66
21990232561417,3.65
21990232563422,4.14
24189255811686,3.50
24189255814351,3.44
24189255817454,3.64
24189255819145,3.50
24189255819234,3.52
26388279074754,3.58
