id,time
125,3.10
4644,3.76
5711,3.51
6503,5.37
6795,4.09
7259,3.77
7650,3.60
9004,5.63
9164,5.30
12351,3.59
12402,3.61
12800,3.69
13111,3.83
14338,3.64
14806,4.03
15448,3.48
17419,3.87
18599,3.90
18727,3.29
18846,3.41
21597,4.19
26252,3.78
26832,3.73
28153,3.42
29421,3.70
30214,3.72
30845,3.43
33527,4.60
33689,4.06
34365,3.56
37132,5.51
37668,3.65
42306,3.76
44698,4.81
45338,3.38
46365,4.53
46777,3.86
47035,3.42
47056,3.38
48151,4.60
48182,3.52
52987,3.23
54250,3.59
55931,3.39
57913,3.31
60599,3.81
62170,4.64
65682,3.55
66138,3.30
66319,3.74
67424,3.98
67919,3.14
69297,3.85
72036,3.68
73863,3.41
75461,3.43
75981,3.89
76485,3.52
77596,3.77
78470,3.25
80507,3.09
82080,4.31
82382,3.80
83183,3.45
83394,5.04
84136,4.40
86212,3.43
86684,3.81
87103,3.97
87149,5.39
87436,4.84
87777,4.38
88313,3.83
88347,3.48
89178,3.95
89642,3.66
93160,3.37
95083,4.67
97670,3.54
97722,3.61
98072,3.65
2199023257259,4.92
2199023258122,3.85
2199023259229,3.61
2199023261702,4.60
2199023262025,4.97
2199023262970,5.46
2199023264571,3.47
2199023265081,3.72
2199023266716,3.77
2199023268243,3.70
2199023268483,3.64
2199023268824,3.83
2199023269634,4.19
2199023270145,3.62
2199023270424,4.13
2199023270720,3.46
2199023272396,3.78
2199023272950,3.80
2199023274130,3.34
2199023274200,3.87
2199023277123,3.81
2199023280042,3.57
2199023280954,5.66
2199023281698,3.59
2199023283003,4.01
2199023283226,3.90
2199023285964,3.45
2199023286505,7.31
2199023290334,3.56
2199023292291,3.95
2199023292889,3.76
2199023293023,5.17
2199023294255,3.90
2199023294555,4.45
2199023299653,3.43
2199023301173,4.13
2199023302658,3.37
2199023303207,3.88
2199023304118,3.33
2199023304692,4.02
2199023306037,5.03
2199023306186,3.62
2199023306541,4.24
2199023307025,3.62
2199023308085,3.57
2199023311893,3.94
2199023312737,3.98
2199023313749,3.71
2199023314103,3.52
2199023314209,3.83
2199023314954,3.54
2199023316474,3.98
2199023316771,3.97
2199023319125,3.38
2199023319129,3.37
2199023321861,3.73
2199023322541,3.52
2199023323538,3.07
2199023324598,5.69
2199023325695,3.49
2199023326684,4.83
2199023327930,3.54
2199023328055,3.32
2199023328436,3.09
2199023328492,3.75
2199023332240,3.46
2199023333844,3.39
2199023334210,3.60
2199023334339,3.51
2199023336948,4.03
2199023338414,4.34
2199023338618,3.92
2199023340108,3.61
2199023340936,3.70
2199023341839,3.30
2199023342466,3.73
2199023343687,3.69
2199023343768,4.14
2199023343783,4.58
2199023345133,3.65
2199023347477,3.55
2199023347532,3.68
2199023347946,3.54
2199023349325,5.26
2199023350494,6.25
2199023352993,4.10
2199023354691,3.96
4398046511741,3.31
4398046514857,3.49
4398046518655,3.51
4398046518818,3.94
4398046519478,3.80
4398046521297,3.55
4398046523991,3.33
4398046527576,3.84
4398046530895,3.48
4398046532613,3.74
4398046533914,4.01
4398046535192,3.93
4398046535681,3.91
4398046536623,3.40
4398046538159,3.47
4398046538517,4.04
4398046540543,4.35
4398046540993,3.51
4398046541015,4.27
4398046541160,3.93
4398046542107,3.42
4398046543737,3.50
4398046545039,4.49
4398046546775,4.39
4398046548385,3.66
4398046548587,3.74
4398046549382,4.47
4398046549853,3.51
4398046550481,4.00
4398046550901,3.54
4398046554146,3.73
4398046556912,3.53
4398046560299,4.36
4398046560849,4.19
4398046561187,4.38
4398046561764,4.09
4398046562436,4.72
4398046563322,3.62
4398046564225,3.50
4398046564303,3.68
4398046565854,3.62
4398046571289,4.19
4398046571903,3.67
4398046572336,3.61
4398046574538,4.58
4398046574972,3.38
4398046578179,3.34
4398046578286,3.44
4398046579836,3.44
4398046582370,3.93
4398046582671,4.01
4398046582705,3.55
4398046583021,3.84
4398046583386,3.62
4398046583495,4.06
4398046588230,3.72
4398046588785,3.29
4398046590981,3.64
4398046592363,4.13
4398046592618,3.69
4398046593113,3.60
4398046593130,3.55
4398046593504,3.71
4398046593657,3.77
4398046593908,3.93
4398046594181,4.09
4398046594655,3.86
4398046599383,3.29
4398046599531,3.69
4398046600608,4.13
4398046600813,4.15
4398046601042,3.86
4398046601140,4.35
4398046601348,3.75
4398046602004,4.35
4398046603626,3.42
4398046603929,3.85
4398046606208,4.06
4398046606270,4.03
4398046606770,4.20
4398046609933,3.58
4398046610194,3.67
4398046610384,3.57
6597069767571,3.73
6597069769150,3.51
6597069769171,3.68
6597069773981,3.16
6597069774584,3.67
6597069774822,3.65
6597069775089,3.22
6597069775579,3.62
6597069775681,4.85
6597069780958,3.74
6597069782191,4.00
6597069782824,3.80
6597069785087,4.37
6597069787271,3.31
6597069787523,4.79
6597069788329,4.09
6597069788375,3.48
6597069789539,2.94
6597069789608,3.73
6597069789887,4.19
6597069791060,3.61
6597069792113,3.88
6597069792378,3.91
6597069793495,4.04
6597069796021,3.64
6597069797436,3.23
6597069798951,4.26
6597069800690,3.71
6597069801547,4.31
6597069801775,4.68
6597069802251,4.77
6597069802560,3.70
6597069803324,4.06
6597069803535,3.93
6597069806861,4.00
6597069808886,3.71
6597069808948,3.76
6597069809232,3.57
6597069810070,3.75
6597069814034,4.75
6597069815412,3.91
6597069815429,3.54
6597069816125,3.60
6597069817762,3.71
6597069818022,4.01
6597069819108,3.14
6597069819133,3.26
6597069820869,5.16
6597069826575,3.48
6597069826913,3.32
6597069827383,3.31
6597069829111,5.01
6597069829625,3.70
6597069833323,3.91
6597069836923,3.52
6597069837541,3.36
6597069838694,4.33
6597069839364,3.89
6597069840581,3.52
6597069843898,3.38
6597069844761,3.47
6597069845604,5.49
6597069845917,3.61
6597069847889,3.73
6597069849128,3.20
6597069849374,3.40
6597069850258,3.84
6597069850603,3.59
6597069851575,5.07
6597069853486,4.76
6597069855537,3.80
6597069856399,5.74
6597069857353,3.40
6597069857914,3.51
6597069861279,5.43
6597069862139,3.79
6597069863363,3.31
8796093022546,3.28
8796093022587,3.57
8796093024192,3.87
8796093025166,3.63
8796093028903,3.52
8796093033514,3.56
8796093033619,4.07
8796093036271,3.54
8796093036738,4.48
8796093037267,4.37
8796093041528,3.53
8796093041964,3.82
8796093042769,3.43
8796093043692,3.41
8796093049889,4.57
8796093050301,3.56
8796093051040,3.67
8796093051416,3.70
8796093051739,3.53
8796093052792,3.67
8796093053179,3.36
8796093053416,3.69
8796093056049,3.30
8796093056219,3.85
8796093057694,3.70
8796093061504,3.61
8796093062582,3.52
8796093062613,3.31
8796093063507,3.64
8796093064480,3.71
8796093064711,4.45
8796093065107,3.56
8796093065209,4.09
8796093065606,3.99
8796093068330,4.49
8796093069096,3.69
8796093069598,3.43
8796093074211,4.11
8796093074276,3.57
8796093075637,3.90
8796093077058,4.14
8796093077339,4.77
8796093078220,3.59
8796093078455,3.84
8796093078730,5.27
8796093078965,3.65
8796093080471,3.79
8796093081823,3.80
8796093082731,4.14
8796093082737,5.91
8796093083781,3.58
8796093087207,3.98
8796093087679,5.56
8796093089645,4.14
8796093090441,3.97
8796093090830,3.35
8796093092067,3.54
8796093092354,3.50
8796093092492,3.61
8796093094226,3.91
8796093096344,4.25
8796093099087,3.81
8796093099453,3.47
8796093101161,3.39
8796093102169,4.27
8796093103299,4.53
8796093103555,3.91
8796093103636,3.97
8796093106123,4.31
8796093107522,3.25
8796093108342,3.49
8796093109204,3.92
8796093110946,3.62
8796093111065,3.24
8796093114226,5.01
8796093114389,3.68
8796093115188,3.75
8796093115894,3.78
8796093119579,6.51
8796093119644,4.47
8796093119978,3.55
8796093121164,3.62
10995116277848,6.46
10995116280673,4.51
10995116281640,4.47
10995116282722,3.35
10995116283006,3.47
10995116283261,3.47
10995116283956,4.28
10995116284536,3.35
10995116285822,4.06
10995116290108,3.40
10995116291417,3.63
10995116291494,3.78
10995116291674,3.71
10995116293243,3.53
10995116294411,3.50
10995116297094,3.66
10995116300359,3.76
10995116301757,4.84
10995116302136,4.00
10995116303082,3.81
10995116306670,3.86
10995116309165,3.76
10995116310048,3.48
10995116310984,3.59
10995116311560,3.88
10995116316735,3.53
10995116319408,3.56
10995116320712,3.62
10995116321718,4.24
10995116322862,4.00
10995116324538,3.24
