id,time
1400,13.13
6852,27.83
7050,10.91
10445,14.35
14068,23.13
15790,16.96
16824,15.96
17552,23.75
20021,20.58
20277,22.81
20370,17.14
20682,19.64
20812,11.25
21166,17.43
24921,15.76
25001,18.70
25397,17.51
29162,23.29
30151,22.29
30743,18.84
32324,16.14
32819,16.80
36657,23.84
37101,19.03
38167,15.50
40223,28.59
41294,24.22
42192,20.68
45178,18.09
46055,15.99
46168,15.10
50598,13.34
51503,14.36
52569,16.70
54739,13.01
55858,13.66
58295,15.43
58790,18.11
63375,21.58
63650,20.23
69388,17.79
72554,16.23
73440,21.85
75671,16.17
77184,17.08
80905,14.84
82536,20.45
88066,21.10
88547,10.14
90765,23.53
90992,13.42
91688,19.89
92965,27.28
93761,12.26
94373,17.89
100728,21.80
100786,19.76
101260,13.62
101971,12.99
102600,21.45
103257,14.84
104269,16.56
107426,23.08
110189,14.69
112297,16.62
114880,21.94
114939,15.24
115070,15.07
115537,26.61
116748,16.90
116945,13.90
119853,18.00
120245,18.30
120430,14.45
121292,29.23
122449,17.34
123014,8.63
123324,12.28
123361,12.70
124720,16.31
124919,24.87
129411,26.12
130009,14.05
130101,18.65
130109,16.03
131032,25.51
131082,18.64
131951,13.78
132896,15.75
132924,14.57
133592,12.46
134032,14.79
134535,14.74
135879,16.68
137761,24.87
138587,19.78
139301,19.28
140331,18.87
140382,16.11
141639,15.42
142677,21.87
144828,21.96
145126,23.56
145930,19.29
146976,17.01
147561,19.93
148109,26.90
149537,13.07
156465,29.26
158149,16.95
159111,28.34
161627,12.25
162218,18.26
162290,19.43
163623,14.88
163777,11.80
164109,20.42
164290,25.16
164470,18.68
165883,23.00
167046,11.05
167902,16.83
168320,19.74
170514,8.15
171712,19.88
172502,24.48
176452,15.31
178431,12.69
179848,27.51
180879,17.12
181341,18.49
182355,20.24
182928,29.79
183886,18.51
184991,13.51
187715,18.40
187752,13.92
188650,14.34
189134,17.54
193293,24.47
193406,18.24
195977,23.38
196264,16.16
197463,20.54
197612,17.22
198356,25.38
198523,15.65
202872,15.24
203655,13.31
205527,19.19
206750,17.99
209171,21.73
209570,19.49
209763,23.32
209825,14.22
209874,10.32
210733,10.03
211123,15.12
211840,25.68
212020,13.11
219918,16.40
219941,19.95
220683,15.25
220937,26.67
222546,15.67
223125,10.18
225538,20.93
228802,22.17
232685,14.26
233515,14.78
234036,15.17
234195,13.75
234773,22.41
237808,22.16
238076,19.59
238136,11.13
239747,17.63
241046,20.16
241294,24.42
242381,19.89
244282,15.36
245442,21.07
246040,12.69
247128,13.76
249592,23.08
250721,22.44
252754,18.25
253481,23.69
256070,14.23
256988,9.66
257748,17.23
258930,20.83
262146,15.83
263097,13.64
263298,15.90
263515,17.87
263538,25.84
264272,14.65
268074,20.33
268375,14.14
269511,20.87
269517,23.13
272558,14.69
272796,15.78
274143,15.64
275135,15.76
277474,21.31
277888,16.34
281491,16.47
283048,18.00
284229,9.46
286884,15.10
286985,15.95
288199,22.76
288524,11.33
289812,18.59
289973,14.65
290040,19.73
291390,15.72
291794,23.76
291838,19.64
291839,17.86
292581,28.36
294877,14.18
297397,16.64
299221,18.40
299627,17.62
300939,12.73
302929,19.48
303661,27.17
304280,17.27
307022,19.95
307744,21.73
309301,12.92
309444,17.48
311069,26.17
311384,17.67
311908,20.89
312884,26.91
313167,17.60
314806,5.82
316744,21.90
318291,23.05
319034,19.61
320345,27.34
320549,16.46
321240,12.63
322195,9.61
322462,19.84
326043,19.45
326949,19.70
327634,15.65
328419,15.26
328637,27.15
328975,16.19
331174,29.81
331579,11.80
336600,24.78
336956,11.17
337222,16.20
337888,16.45
338172,13.27
338195,24.85
340885,24.44
341466,17.40
343227,13.70
343291,25.78
344550,17.69
344942,11.62
347526,12.48
350055,22.30
350361,12.93
350559,16.62
350962,12.92
352340,22.52
353985,17.53
354011,16.63
354231,20.05
355765,25.79
357678,14.12
360072,11.07
360194,22.05
360271,9.66
363850,16.99
364967,13.77
365376,20.77
366820,25.01
368573,23.14
369319,16.82
369641,15.19
369663,13.40
370548,12.36
370865,22.49
371993,22.33
374546,15.16
379960,21.30
381176,22.93
385814,25.06
387475,15.03
387748,13.91
388570,23.67
389387,17.45
394677,18.30
396059,18.19
396362,14.53
396429,18.48
396665,13.77
398075,12.66
398691,28.00
400596,16.40
403580,14.53
404637,12.08
406347,17.31
407515,20.21
407518,22.69
408311,18.24
409533,12.29
411131,14.70
411231,19.05
413590,11.90
414223,24.55
416746,18.99
417422,20.48
419162,16.47
419432,24.36
420308,22.73
421159,22.96
421718,14.03
421848,15.26
422203,15.86
422508,17.64
422632,21.44
422705,20.48
426712,13.99
427700,19.26
428714,15.83
429425,16.63
429607,17.28
430862,15.62
431977,20.25
432607,20.75
434675,16.75
436986,12.99
437673,19.12
439644,23.78
441555,13.71
442410,15.44
445831,15.11
447871,8.68
448087,11.72
449483,21.72
451294,12.15
452689,19.35
453578,16.10
454330,12.43
455106,16.41
457648,15.41
457819,23.34
458599,23.10
460682,13.76
463497,18.03
465097,15.64
466299,9.20
468803,20.32
470261,14.13
471595,17.15
471919,19.03
472202,17.89
472789,9.07
473754,27.20
474833,20.07
476056,16.48
477125,24.67
478916,12.49
479178,12.14
480680,15.59
483284,14.80
486690,11.26
490645,6.57
492050,15.70
492638,13.41
494664,18.90
495083,14.26
501061,15.82
501837,12.83
505002,11.82
506169,21.69
506287,19.54
507222,22.66
507411,15.75
507615,13.95
507738,18.46
509675,14.21
510165,19.62
511633,13.53
511713,22.94
512271,14.70
514025,13.67
514440,15.74
515291,15.64
517357,19.98
518718,21.97
519901,12.97
522271,25.69
523107,8.25
524212,11.70
524734,21.80
527116,18.28
527186,19.19
528209,23.09
532024,13.56
532283,28.57
538816,22.74
539601,15.30
542008,19.74
543369,17.07
543412,16.91
543745,18.12
543762,10.99
544218,12.75
545942,14.49
546621,17.21
547796,14.74
548301,14.16
549092,16.91
550369,16.36
550431,13.98
550593,19.58
551945,15.09
554074,15.25
556984,15.40
557144,14.69
557724,12.64
558219,20.70
559324,18.29
559374,14.27
559808,19.13
561050,14.93
561258,11.77
562050,22.59
562125,23.29
562137,18.61
565398,16.62
567025,12.31
569011,10.81
569406,13.63
572156,16.03
572504,26.21
573496,20.09
574155,17.42
575159,26.38
577212,10.28
579308,25.91
580955,13.51
580983,16.00
582263,13.14
582373,15.02
582885,10.77
584004,11.80
585048,10.48
585440,19.42
586938,20.92
587146,18.26
587223,17.46
588055,10.12
588305,14.23
591913,24.97
591939,13.48
592784,11.94
593497,13.67
595236,29.96
595944,17.03
598406,30.90
600125,19.30
601501,19.48
605013,16.16
605148,8.82
609922,14.27
612968,23.75
618520,12.51
621114,13.72
623675,29.18
627091,13.30
630683,6.41
632128,13.00
632461,20.82
632856,17.33
633203,20.70
633283,28.62
633590,28.16
636372,20.27
637754,12.86
637805,13.32
642003,20.52
643154,56.82
643287,32.90
644004,19.13
645345,35.98
645943,14.78
647461,21.98
648001,6.50
649323,19.98
650205,13.90
651082,28.92
653219,17.89
656496,16.53
656980,8.32
657864,6.88
658121,17.47
660811,17.98
661307,24.76
662436,17.11
663764,15.93
663947,19.19
664155,15.25
664666,17.81
666327,15.31
666422,17.70
666939,20.27
670260,11.17
670372,22.23
672990,28.24
673808,17.02
679323,22.47
680074,15.08
680524,15.45
681076,24.30
683106,14.04
685257,11.46
686330,11.62
687964,20.43
688013,19.30
689099,8.24
690553,17.02
693649,20.32
693834,16.50
694209,16.90
695343,18.37
695408,26.24
696041,22.05
697317,14.92
698002,11.13
699088,14.10
700709,17.94
701464,28.09
702518,16.88
704315,19.01
704621,14.36
705470,16.45
708598,20.25
710980,11.82
711131,24.14
712054,13.23
712489,17.41
714979,25.82
715320,22.13
715351,18.07
716067,21.59
717788,10.41
718586,17.25
718874,23.91
720744,13.28
721719,18.47
721757,19.19
722259,21.02
723904,21.57
725065,16.38
725587,13.36
726167,17.98
726179,24.49
730575,13.53
730774,11.43
732416,16.76
732644,12.99
733089,21.99
734047,13.42
734546,27.10
735516,11.30
738548,15.27
738952,13.31
741284,18.83
741572,15.30
743579,23.11
744078,10.77
744865,22.60
745510,16.05
745829,17.17
746589,21.63
747076,13.94
748291,21.02
752898,11.04
753636,10.05
753649,8.32
753729,14.53
754110,15.61
755554,21.36
756026,20.81
758022,13.32
758196,21.50
759766,16.20
765075,18.03
765249,20.68
765959,9.97
768350,26.15
770325,11.99
770818,18.43
771754,15.51
775804,18.20
779606,24.28
780778,7.65
